Seagrass,E_Corallinophycidae,B_Hyphomonadaceae,B_Desulfobulbaceae,B_Kiloniellaceae,B_Flavobacteriaceae,B_Crocinitomicaceae,B_Marinilabiliaceae,B_BD7_8_other,B_bacterium_enrichment_culture_clone_22(2013),E_Novel Clade Gran-1,E_Diatomea,B_Unknown Family
1,1.081252981,0,4.953198128,0.507020281,8.560842434,0.13650546,0.23400936,0,0,0,12.03688981,1.404056162
1,0.496238194,0,6.977640709,1.156515035,12.20123362,0.231303007,0.173477255,0,0.077101002,0.056026893,9.012325916,3.084040093
1,0.348652932,0,8.728354032,0.892076264,11.75441665,0.209900297,0.454783978,0,0.104950149,0.04437401,6.136291601,3.393388141
1,0.453103761,0,8.802011888,1.806127115,4.641060814,0,0.434385002,0,0,0.036248301,20.48028999,1.851851852
1,0.251335218,0,7.151741294,0.704809287,11.00746269,0.248756219,0.310945274,0,0.186567164,0.054979579,5.372290292,3.897180763
1,0.431531565,0,7.018195321,0.556999629,10.91719272,0,0,0,0.222799851,0.107882891,14.74647521,3.137764575
0,0,0,5.138523448,2.213279678,6.624361554,0,0,0,0,0,21.9559734,1.470360625
0,0.016762352,0,5.128205128,1.13960114,10.45584046,0,0,0,0,0.046096467,13.32187906,1.937321937
0,0,0,5.396825397,2.031746032,5.650793651,0,0,0.105820106,0.169312169,0.371233364,41.42411437,0.486772487
0,0.020594141,0,4.136310223,1.104582844,7.614571093,0.164512338,0,0,0,0.262575297,17.08798847,2.068155112
0,0.061157404,0,4.307768924,1.917330677,8.540836653,0,0,0,0,0.141426496,20.33483679,1.743027888
0,0.025254651,0,4.50928382,1.591511936,7.904509284,0,0,0.557029178,0,0.134691472,31.64407778,1.538461538
1,0,0.112403333,7.865235897,0.011989689,6.924045321,0.047958755,0.218811822,0.034470355,0.349199688,0,3.01404299,2.328997063
1,0,0.245255422,8.535780537,1.167415811,3.273936929,0,0.15696347,0.205122717,0.129316495,0,9.829795755,1.31635274
1,0,0.162858798,4.195180006,0.350772796,7.280101474,0.073599649,0.593495044,0.139369549,0.360168496,0,9.059218637,1.196385787
1,0,0.083399876,4.656197321,0.17922101,6.737645284,0.149055097,0.424097241,0.129535977,0.370863277,0.005735918,9.348399679,1.641380534
1,0,0.054430655,6.034998911,0.14288047,5.198127585,0.032658393,0.261267146,0.03401916,0.541585021,0.008902829,3.350203053,1.379817113
1,0,0.07789731,4.700699733,0.397544892,4.718159475,0.02283197,0.210859959,0.136991821,0.443208832,0,9.957163947,1.240984729
0,0,0.106080063,3.885880185,0.98104118,3.502237252,0,0.449045678,0.287931598,0.225719231,0,7.160170392,0.878151495
0,0.048479506,0.061615039,3.69327792,0.659643358,3.340501619,0.064031315,0.577489972,0.273039192,0.257333398,0,8.892684002,1.333784372
0,0.07668918,0.037290573,3.842260874,0.482113843,3.396105799,0.022640705,0.40620089,0.396878246,0.278347495,0.045744423,13.00621586,1.647444264
0,0.028067191,0.032324683,4.48235611,0.235251863,3.455149502,0.035916315,0.678818353,0.217293706,0.355571518,0.052732299,7.876674463,1.741941277
0,0.507443945,0.021024809,3.683846939,0.421997958,2.007869286,0.025530126,0.569171623,0.213251637,0.298852646,0.106649236,15.73248243,1.600889049
0,1.044012485,0.056185265,4.294508501,0.483681845,1.976255619,0.028092632,0.683994528,0.310240375,0.175884307,0,2.539409743,1.420510064
1,0,0,9.234234234,0,4.804804805,0,0.075075075,0,0.356606607,0,10.65779026,2.67454955
1,0,0,8.445617447,0.097235727,3.180997361,0,0.055563273,0.138908182,0.277816363,0,13.75727142,2.333657452
1,0,0,9.003696532,0.061608872,3.485301883,0.105615209,0.140820278,0,0.360851963,0,9.185242121,3.370885407
1,0,0.066287879,8.267045455,0.123106061,4.195075758,0.104166667,0,0,0.331439394,0.021678807,6.425598335,3.03030303
1,0,0,9.249193137,0.169865806,3.337863088,0,0.025479871,0.084932903,0.314251741,0,6.877351392,3.38032954
1,0,0,8.353566507,0,3.392611064,0,0.039372662,0,0.255922305,0.044744731,6.729607589,2.532974605
0,0,0,6.675609564,0.118361872,6.202162077,0.071017123,0.134143455,0,0.181488203,0,2.232160068,3.101081038
0,0,0,9.239048052,0.174321661,4.865848113,0.083371229,0.151584053,0,0.250113688,0,2.683009874,3.15294831
0,0,0,6.691297209,0.174466338,2.473316913,0,0,0,0.369458128,0,3.0964356,1.929392447
0,0,0,8.37516267,0.092954081,2.593418851,0,0.195203569,0,0.408997955,0,4.043844709,2.93734895
0,0,0,6.81955341,0.229330115,2.196741098,0,0.036210018,0,0.374170187,0,9.236861051,2.015691008
0,0,0,7.562620424,0.216763006,2.9022158,0,0.15655106,0,0.349229287,0,6.324248777,2.191714836
1,0,0,6.804733728,0.164365549,4.76660092,0.076703923,0.164365549,0,0.109577033,0,3.011864922,3.199649353
1,0,0,7.438870394,0.114797383,5.797267822,0,0.137756859,0,0.321432671,0,2.558537227,2.364826082
1,0,0,7.319525437,0.382063141,4.936657953,0.060325759,0,0,0.150814398,0,4.064546621,2.523627589
1,0,0,7.493246125,0.071093417,4.706384189,0.071093417,0.12796815,0,0.312811034,0,2.758277597,2.63045642
