target,E_D_4_Corallinophycidae,B_D_4_Hyphomonadaceae,B_D_4_Defluviitaleaceae,B_D_4_Desulfobulbaceae,E_D_4_Novel_Apicomplexa_Class_1,E_D_4_Rhodymeniophycidae,B_D_4_Kiloniellaceae,B_D_4_Pirellulaceae,B_D_4_Flavobacteriaceae,E_D_4_Intramacronucleata,B_D_4_Crocinitomicaceae,B_D_4_Marinilabiliaceae,B_D_3_BD7_8_other,B_D_4_uncultured_Aminicenantes_bacterium,B_D_4_Erysipelotrichaceae,B_D_4_bacterium_enrichment_culture_clone_22(2013),B_D_4_Clostridiaceae_1
1,0.326136192,0,0,13.46035648,9.919975842,0.214404348,0.24585126,2.765826675,1.84388445,1.585384267,0,0.184388445,0.184388445,0,0,0.49170252,0.86047941
0,0,0,0,6.674590838,4.125173928,0,1.014903538,7.579775075,5.037944592,0.753007939,0.091432751,0.146292402,0,0,0.118862577,0.146292402,0.429733931
0,0,0,0,6.623967639,0.439865725,0,2.207989213,7.24759818,2.856902073,3.27198364,0.134839036,0.193831114,0.480364065,0,0.075846958,0.185403674,0.699477499
0,0,0,0,6.348004758,0.726853875,2.45859316,3.903968855,7.310479074,4.120255218,3.16558764,0,0.216286363,0.984102952,0,0.054071591,0.194657727,0.454201363
0,0,0,0,7.544769547,2.090226149,0,1.487425384,7.975340053,4.393776299,0.214082753,0,0.273999413,0.968783638,0,0.078285547,0.156571093,0.821998239
0,0,0,0,5.907347912,0.539165433,0,3.461498601,8.094103016,4.332055135,1.347913582,0,0.404186962,0.83946523,0,0.145092756,0.155456524,0.414550731
0,0,0,0,6.645817045,1.924616168,0.036382158,2.462861611,6.157154027,4.046129789,1.08782653,0.097732604,0.175918686,0.420250195,0,0.029319781,0.27365129,0.752541048
1,0.979467681,0,0,8.618440855,2.980988593,0,0,8.156917829,12.83234674,5.603041825,0,0.94311227,0,0,0.050165546,0.67221832,0
1,0.274009523,0,0,9.894762308,1.679992813,0,0,6.894883271,8.745615096,1.18138532,0,1.282206363,0,0,0,0.556429176,0.16934801
1,0,0,0.152043645,9.829174492,2.40352065,0,0.098381182,5.446740005,19.43475539,0.894670664,0,1.287899115,0,0,0,0.339862266,0.304087291
1,0.113228174,0,0,8.067004629,0.99172263,0,0,5.025347146,18.8156638,0.085897236,0,0.903680846,0,0,0.051428991,0.360002939,0
1,0.415645316,0,0,8.061853879,1.396141959,0,0.121622796,6.993310746,13.66518982,0.277096877,0,2.336895144,0,0,0.112935453,0.364868387,0.104248111
1,0,0,0.501478719,12.47267584,1.59691361,0,0,6.686382924,6.853542497,0,0,0.707213579,0,0,0.180018002,0.39861129,0.411469718
0,0.02397679,0,0,7.717948718,0.513103316,0,0,3.846153846,14.65384615,0.947083223,0,1.256410256,0.256410256,0,0,0.358974359,0.141025641
0,0,0,0,7.381130197,0.873445815,0,0.062235499,4.767239233,15.49663928,1.465288881,0,1.468757779,0,0,0.074682599,0.286283296,0
