yyyy,mm,dd,areaNo.,flag,Temp.
1982,12,8,319,R,16.14
1982,12,9,319,R,16.16
1982,12,10,319,R,16.19
1982,12,11,319,R,16.19
1982,12,12,319,R,16.09
1982,12,13,319,R,15.97
1982,12,14,319,R,15.8
1982,12,15,319,R,15.62
1982,12,16,319,R,15.53
1982,12,17,319,R,15.41
1982,12,18,319,R,15.29
1982,12,19,319,R,15.25
1982,12,20,319,R,15.24
1982,12,21,319,R,15.23
1982,12,22,319,R,15.22
1982,12,23,319,R,15.28
1982,12,24,319,R,15.34
1982,12,25,319,R,15.38
1982,12,26,319,R,15.42
1982,12,27,319,R,15.45
1982,12,28,319,R,15.45
1982,12,29,319,R,15.17
1982,12,30,319,R,14.53
1982,12,31,319,R,14.16
1983,1,1,319,R,14.06
1983,1,2,319,R,14.01
1983,1,3,319,R,13.96
1983,1,4,319,R,13.9
1983,1,5,319,R,13.83
1983,1,6,319,R,13.72
1983,1,7,319,R,13.63
1983,1,8,319,R,13.54
1983,1,9,319,R,13.45
1983,1,10,319,R,13.37
1983,1,11,319,R,13.31
1983,1,12,319,R,13.28
1983,1,13,319,R,13.23
1983,1,14,319,R,12.9
1983,1,15,319,R,12.19
1983,1,16,319,R,11.88
1983,1,17,319,R,11.8
1983,1,18,319,R,11.68
1983,1,19,319,R,11.52
1983,1,20,319,R,11.48
1983,1,21,319,R,11.48
1983,1,22,319,R,11.45
1983,1,23,319,R,11.43
1983,1,24,319,R,11.41
1983,1,25,319,R,11.38
1983,1,26,319,R,11.35
1983,1,27,319,R,11.33
1983,1,28,319,R,11.31
1983,1,29,319,R,11.28
1983,1,30,319,R,11.24
1983,1,31,319,R,11.2
1983,2,1,319,R,11.18
1983,2,2,319,R,11.17
1983,2,3,319,R,11.12
1983,2,4,319,R,10.96
1983,2,5,319,R,10.69
1983,2,6,319,R,10.57
1983,2,7,319,R,10.59
1983,2,8,319,R,10.66
1983,2,9,319,R,10.75
1983,2,10,319,R,10.78
1983,2,11,319,R,10.71
1983,2,12,319,R,10.54
1983,2,13,319,R,10.46
1983,2,14,319,R,10.49
1983,2,15,319,R,10.53
1983,2,16,319,R,10.53
1983,2,17,319,R,10.54
1983,2,18,319,R,10.56
1983,2,19,319,R,10.54
1983,2,20,319,R,10.48
1983,2,21,319,R,10.38
1983,2,22,319,R,10.25
1983,2,23,319,R,10.12
1983,2,24,319,R,9.96
1983,2,25,319,R,9.81
1983,2,26,319,R,9.7
1983,2,27,319,R,9.62
1983,2,28,319,R,9.6
1983,3,1,319,R,9.6
1983,3,2,319,R,9.64
1983,3,3,319,R,9.75
1983,3,4,319,R,9.9
1983,3,5,319,R,10.08
1983,3,6,319,R,10.25
1983,3,7,319,R,10.39
1983,3,8,319,R,10.44
1983,3,9,319,R,10.47
1983,3,10,319,R,10.49
1983,3,11,319,R,10.47
1983,3,12,319,R,10.43
1983,3,13,319,R,10.39
1983,3,14,319,R,10.34
1983,3,15,319,R,10.28
1983,3,16,319,R,10.22
1983,3,17,319,R,10.16
1983,3,18,319,R,10.1
1983,3,19,319,R,10.01
1983,3,20,319,R,9.92
1983,3,21,319,R,9.84
1983,3,22,319,R,9.8
1983,3,23,319,R,9.8
1983,3,24,319,R,9.81
1983,3,25,319,R,9.78
1983,3,26,319,R,9.75
1983,3,27,319,R,9.7
1983,3,28,319,R,9.65
1983,3,29,319,R,9.58
1983,3,30,319,R,9.53
1983,3,31,319,R,9.51
1983,4,1,319,R,9.49
1983,4,2,319,R,9.48
1983,4,3,319,R,9.52
1983,4,4,319,R,9.65
1983,4,5,319,R,9.9
1983,4,6,319,R,10.14
1983,4,7,319,R,10.39
1983,4,8,319,R,10.65
1983,4,9,319,R,10.89
1983,4,10,319,R,11.13
1983,4,11,319,R,11.33
1983,4,12,319,R,11.57
1983,4,13,319,R,11.8
1983,4,14,319,R,11.92
1983,4,15,319,R,11.99
1983,4,16,319,R,12.08
1983,4,17,319,R,12.17
1983,4,18,319,R,12.25
1983,4,19,319,R,12.43
1983,4,20,319,R,12.64
1983,4,21,319,R,12.8
1983,4,22,319,R,12.92
1983,4,23,319,R,13
1983,4,24,319,R,12.98
1983,4,25,319,R,12.84
1983,4,26,319,R,12.72
1983,4,27,319,R,12.67
1983,4,28,319,R,12.75
1983,4,29,319,R,12.8
1983,4,30,319,R,12.81
1983,5,1,319,R,12.98
1983,5,2,319,R,13.28
1983,5,3,319,R,13.5
1983,5,4,319,R,13.63
1983,5,5,319,R,13.79
1983,5,6,319,R,13.98
1983,5,7,319,R,14.19
1983,5,8,319,R,14.37
1983,5,9,319,R,14.53
1983,5,10,319,R,14.66
1983,5,11,319,R,14.78
1983,5,12,319,R,14.91
1983,5,13,319,R,15.05
1983,5,14,319,R,15.13
1983,5,15,319,R,15.15
1983,5,16,319,R,15.2
1983,5,17,319,R,15.29
1983,5,18,319,R,15.39
1983,5,19,319,R,15.43
1983,5,20,319,R,15.47
1983,5,21,319,R,15.62
1983,5,22,319,R,15.78
1983,5,23,319,R,15.84
1983,5,24,319,R,15.85
